302831,20180914,0800,1092,0
428182,20180914,0801,1064,0
454392,20180914,0805,1066,0
454392,20180914,0810,1066,1
306342,20180914,0816,1062,0
283300,20180914,0827,1009,0
415499,20180914,0842,1076,0
283452,20180914,0859,1086,0
114890,20180914,0915,1099,0
220254,20180914,0925,1058,0
174180,20180914,0935,1013,0
141368,20180914,0947,1072,0
472109,20180914,0947,1067,0
454392,20180914,0958,1038,0
360618,20180914,1000,1003,0
249567,20180914,1015,1066,0
465402,20180914,1017,1006,0
472109,20180914,1033,1067,1
143278,20180914,1038,1033,0
229143,20180914,1052,1058,0
440145,20180914,1107,1013,0
249567,20180914,1116,1066,1
495636,20180914,1129,1031,0
408615,20180914,1143,1051,0
114890,20180914,1156,1099,1
229143,20180914,1203,1058,1
465064,20180914,1206,1012,0
265265,20180914,1219,1076,0
457547,20180914,1232,1096,0
144977,20180914,1241,1057,0
456628,20180914,1259,1029,0
456628,20180914,1308,1029,1
490519,20180914,1312,1039,0
205302,20180914,1317,1024,0
205670,20180914,1320,1028,0
119031,20180914,1339,1070,0
141368,20180914,1358,1072,1
213052,20180914,1405,1069,0
376051,20180914,1415,1021,0
174180,20180914,1427,1013,1
149470,20180914,1437,0,2
315852,20180914,1438,1078,0
220494,20180914,1455,1012,0
229143,20180914,1456,1058,0
283452,20180914,1508,1086,1
465064,20180914,1526,1012,1
427943,20180914,1540,1010,0
436913,20180914,1548,1065,0
144977,20180914,1559,1057,1
220494,20180914,1616,1012,1
149470,20180914,1619,0,2
465402,20180914,1622,1006,1
436913,20180914,1627,1065,1
478685,20180914,1639,1047,0
479717,20180914,1658,1078,0
249567,20180914,1707,1024,0
283452,20180914,1723,1023,0
263502,20180914,1729,1031,0
263502,20180914,1746,1031,1
436913,20180914,1755,1026,0
360618,20180914,1809,1003,1
427943,20180914,1815,1010,1
465402,20180914,1815,1089,0
455885,20180914,1820,1074,0
356967,20180914,1837,1066,0
220254,20180914,1845,1058,1
119031,20180914,1849,1070,1
454392,20180914,1908,1038,1
324523,20180914,1924,1070,0
427943,20180914,1937,1097,0
440145,20180914,1947,1013,1
265265,20180914,2003,1076,1
415499,20180914,2022,1076,1
302831,20180914,2032,1092,1
111456,20180914,2038,1075,0
478685,20180914,2040,1047,1
356556,20180914,2056,1086,0
229143,20180914,2103,1058,1
440145,20180914,2113,1049,0
229143,20180914,2129,1098,0
479717,20180914,2148,1078,2
457547,20180914,2153,1096,1
460070,20180914,2212,1032,0
324523,20180914,2229,1070,1
302831,20180914,2232,1026,0
229143,20180914,2235,1098,1
174180,20180914,2253,1058,0
495636,20180914,2254,1031,1
114890,20180914,2308,1061,0
495636,20180914,2312,1001,0
106548,20180914,2326,1045,0
149470,20180914,2336,1012,0
114890,20180914,2348,1061,1
144977,20180915,0006,1084,0
472109,20180915,0019,1042,0
324523,20180915,0019,1048,0
106548,20180915,0022,1045,1
263502,20180915,0036,1052,0
478685,20180915,0046,1092,0
265265,20180915,0047,1057,0
263502,20180915,0047,1052,1
315852,20180915,0100,1078,1
324523,20180915,0101,1048,1
213052,20180915,0118,1069,1
339846,20180915,0121,1050,0
138573,20180915,0140,1057,0
114890,20180915,0141,1039,0
456628,20180915,0151,1015,0
126222,20180915,0156,1057,0
436913,20180915,0208,1026,2
415499,20180915,0224,1076,0
126222,20180915,0225,1057,1
454392,20180915,0227,0,2
138573,20180915,0234,1057,1
126222,20180915,0235,1038,0
213052,20180915,0236,1009,0
479717,20180915,0241,1078,1
218132,20180915,0246,1007,0
205670,20180915,0303,1028,1
205302,20180915,0303,1024,1
436913,20180915,0313,1026,2
119031,20180915,0315,1096,0
415499,20180915,0319,1076,2
460070,20180915,0322,1032,1
465402,20180915,0336,1089,1
339846,20180915,0337,1050,1
